Age,Gender,Income,EmploymentType,Education,HousingType,FamilyStatus,EmploymentYears,CreditScore,LoanAmount,PaymentHistory,Dependents,Approved
38,Female,1174910,Student,Post Graduate,With Parents,Married,20,551,871084,Poor,2,0
49,Male,1773862,Student,Post Graduate,With Parents,Divorced,24,644,30094,Good,2,0
32,Female,644847,Government,Graduate,Rented,Married,17,869,10644,Good,1,1
26,Male,1710106,Student,Graduate,With Parents,Single,30,802,469945,Good,0,1
39,Male,1048090,Business,Graduate,With Parents,Divorced,23,784,580358,Good,3,1
56,Female,937800,Student,Graduate,Rented,Married,14,423,756321,Good,0,0
55,Male,601690,Business,Post Graduate,Rented,Married,33,589,105409,Poor,2,0
35,Female,576316,Government,High School,With Parents,Divorced,8,580,47726,Poor,4,0
39,Male,1537709,Student,High School,Owned,Divorced,18,780,501968,Good,1,1
24,Female,1201870,Working,High School,Rented,Married,4,890,660021,Good,1,1
30,Female,378637,Business,High School,With Parents,Married,14,835,398855,Good,3,0
40,Female,840428,Working,Post Graduate,With Parents,Single,13,516,277501,Good,1,0
36,Male,1357611,Working,High School,Owned,Married,28,781,305407,Good,2,1
39,Female,349274,Business,Graduate,With Parents,Divorced,12,735,120351,Good,5,0
30,Female,1933571,Business,High School,Owned,Single,19,882,965940,Good,0,1
50,Female,1667447,Student,Graduate,With Parents,Divorced,31,748,84349,Good,3,1
41,Female,254242,Working,High School,With Parents,Divorced,1,575,604238,Good,1,0
51,Female,783336,Business,Post Graduate,Rented,Divorced,31,393,492841,Good,2,0
41,Male,1998796,Business,Graduate,Rented,Divorced,31,595,694769,Poor,4,0
23,Female,384674,Government,Graduate,Rented,Single,25,826,864998,Poor,5,0
55,Female,1066642,Working,High School,With Parents,Married,31,752,796907,Good,2,1
56,Male,804040,Student,Post Graduate,Rented,Single,1,545,744261,Good,4,0
21,Female,395473,Business,High School,Rented,Single,9,810,977957,Good,4,0
38,Female,1950542,Student,Graduate,Owned,Married,35,448,402219,Good,4,0
53,Male,346402,Government,Graduate,Rented,Divorced,17,302,296578,Good,4,0
58,Female,511627,Student,Post Graduate,Rented,Married,21,865,799929,Good,3,0
41,Male,1662760,Business,Post Graduate,Rented,Single,26,344,333632,Good,5,0
45,Female,1591856,Business,Graduate,Owned,Single,32,639,911946,Good,3,0
27,Female,232186,Business,Graduate,With Parents,Single,4,780,819488,Poor,2,0
60,Female,1562806,Working,Graduate,With Parents,Divorced,24,624,657246,Good,3,0
55,Male,1494906,Working,High School,With Parents,Divorced,18,532,783041,Good,0,0
27,Female,548892,Government,High School,Owned,Married,3,600,375876,Good,1,0
36,Female,1386837,Business,High School,Owned,Single,24,546,521841,Poor,1,0
35,Female,1537782,Government,Graduate,Rented,Divorced,0,776,944986,Good,4,1
31,Male,1126374,Government,Post Graduate,Rented,Divorced,27,556,479027,Poor,1,0
45,Female,423668,Business,Graduate,With Parents,Married,18,602,23005,Poor,5,0
46,Female,216982,Working,Post Graduate,With Parents,Married,18,535,636553,Poor,1,0
33,Female,1621375,Business,Post Graduate,Owned,Divorced,2,616,826918,Good,4,0
44,Male,389023,Government,Graduate,With Parents,Married,11,505,138579,Good,2,0
54,Female,1941627,Business,Graduate,Rented,Married,21,417,491081,Poor,1,0
35,Female,1973654,Government,High School,Rented,Single,16,849,129592,Good,5,1
37,Female,1924734,Government,High School,With Parents,Single,30,325,649641,Poor,4,0
41,Male,1558225,Working,Post Graduate,Rented,Divorced,19,718,122343,Good,0,1
40,Female,443522,Working,High School,With Parents,Single,24,764,389033,Good,5,0
55,Female,1431741,Business,Graduate,With Parents,Single,31,717,984668,Poor,0,0
44,Male,1129841,Student,High School,Rented,Single,23,857,945497,Poor,2,0
24,Female,778565,Business,High School,Rented,Single,13,321,53035,Good,1,0
29,Male,343885,Business,Post Graduate,Owned,Single,21,451,826952,Poor,0,0
38,Male,472613,Government,High School,Owned,Divorced,1,434,15582,Good,1,0
58,Female,233095,Business,Graduate,Owned,Single,26,838,119169,Good,3,0
49,Female,1276338,Working,Graduate,With Parents,Single,2,833,316282,Good,0,1
24,Female,1976913,Student,Graduate,With Parents,Single,31,754,77060,Poor,2,0
59,Male,337745,Business,Graduate,With Parents,Divorced,35,632,399407,Poor,4,0
39,Female,1260217,Student,High School,With Parents,Single,35,520,450961,Good,1,0
47,Female,1935223,Student,Graduate,Rented,Divorced,6,620,447494,Good,2,0
44,Male,1640368,Student,High School,Owned,Single,5,742,101255,Good,2,1
29,Male,1429906,Government,Post Graduate,Owned,Married,22,733,910260,Poor,0,0
39,Female,937455,Working,Post Graduate,With Parents,Single,9,793,235137,Poor,2,0
56,Female,440931,Government,Post Graduate,Owned,Married,35,870,27529,Good,5,1
38,Male,578359,Government,Post Graduate,Rented,Married,22,306,190217,Poor,4,0
46,Male,497532,Working,High School,With Parents,Divorced,13,685,440226,Good,1,0
44,Female,1713296,Government,Post Graduate,With Parents,Single,3,459,165056,Good,0,0
26,Female,1129275,Student,Graduate,With Parents,Married,26,579,226040,Good,0,0
43,Female,432552,Government,Post Graduate,With Parents,Divorced,31,839,699539,Good,1,0
46,Male,216120,Business,Graduate,Owned,Single,16,596,344061,Good,3,0
48,Male,470922,Student,Post Graduate,With Parents,Single,32,872,873835,Good,2,0
25,Female,1756173,Working,Graduate,Owned,Married,4,620,603727,Good,3,0
47,Female,441536,Student,High School,Rented,Single,29,670,92410,Good,0,1
36,Female,1434952,Student,Post Graduate,Owned,Married,19,647,232335,Good,1,0
25,Male,1312758,Business,Graduate,Rented,Divorced,9,541,107798,Good,1,0
32,Male,1794287,Working,High School,With Parents,Married,29,877,796788,Good,5,1
57,Female,1515370,Government,High School,Rented,Single,30,752,662055,Good,2,1
58,Male,938076,Working,Graduate,Rented,Married,2,358,386649,Poor,0,0
26,Female,1170376,Working,Graduate,With Parents,Divorced,12,629,634394,Good,1,0
24,Female,417059,Government,Post Graduate,Owned,Divorced,11,340,259778,Good,3,0
54,Male,963149,Government,Graduate,Rented,Married,21,353,827564,Good,2,0
25,Female,398193,Student,Graduate,Rented,Divorced,9,641,85461,Good,1,0
43,Female,1575846,Student,High School,With Parents,Divorced,5,617,586072,Good,2,0
29,Male,1554812,Student,Post Graduate,Rented,Single,23,616,189019,Poor,2,0
52,Male,675095,Business,High School,Owned,Married,6,819,808320,Good,5,0
54,Male,1588166,Government,Post Graduate,Owned,Divorced,24,457,170128,Good,5,0
60,Male,1712430,Student,High School,Rented,Married,15,754,640255,Good,5,1
49,Male,1319902,Business,Graduate,Rented,Single,23,884,461999,Good,2,1
45,Female,539860,Business,Post Graduate,Owned,Married,3,792,916578,Good,0,0
54,Male,797820,Working,High School,Rented,Married,32,450,871415,Good,1,0
49,Female,255931,Student,High School,Rented,Divorced,23,541,404924,Poor,2,0
35,Male,868330,Working,Post Graduate,With Parents,Married,9,440,40163,Good,3,0
29,Female,1140785,Working,High School,Owned,Married,13,453,575462,Poor,4,0
54,Female,433175,Government,High School,Rented,Single,3,544,440218,Good,4,0
50,Male,432485,Student,Post Graduate,With Parents,Single,32,888,253690,Good,2,1
48,Male,1489349,Government,High School,With Parents,Married,11,387,548913,Poor,0,0
54,Male,1018840,Student,High School,With Parents,Married,23,559,783618,Good,0,0
43,Male,1737088,Working,Post Graduate,With Parents,Married,8,345,369412,Good,5,0
32,Female,1658336,Student,Post Graduate,Owned,Single,4,768,38780,Good,0,1
33,Male,861852,Government,Post Graduate,Rented,Divorced,30,559,38399,Good,1,0
39,Female,1837543,Working,Post Graduate,Rented,Married,7,676,458176,Poor,5,0
49,Female,911011,Business,Graduate,With Parents,Married,23,831,279676,Poor,5,0
48,Male,1103048,Business,Post Graduate,Rented,Married,6,381,343848,Good,2,0
49,Female,549479,Student,Graduate,Rented,Single,22,745,287892,Good,0,1
25,Female,961918,Business,High School,Owned,Divorced,28,335,132361,Good,5,0
44,Female,1002903,Working,Post Graduate,Owned,Divorced,28,679,390084,Good,0,1
57,Male,1310357,Government,Graduate,Rented,Divorced,17,555,118959,Good,1,0
52,Female,1377913,Working,Graduate,Rented,Divorced,28,519,641599,Good,3,0
33,Male,484643,Working,Graduate,Owned,Divorced,28,389,849884,Good,2,0
43,Male,1353427,Government,Graduate,Owned,Divorced,11,670,533469,Good,1,1
29,Male,1857532,Student,High School,Rented,Divorced,23,778,842700,Poor,1,0
60,Male,337883,Government,Graduate,With Parents,Divorced,30,838,430749,Good,4,0
25,Male,864855,Working,Graduate,Rented,Divorced,33,652,134568,Poor,4,0
58,Male,1810154,Business,Graduate,With Parents,Single,7,830,160448,Good,1,1
41,Male,925662,Government,High School,Rented,Single,35,581,131250,Good,4,0
55,Male,1253972,Business,Post Graduate,With Parents,Single,10,645,883456,Poor,0,0
22,Male,295340,Government,Post Graduate,Owned,Divorced,26,331,522230,Poor,4,0
39,Female,1212808,Business,Post Graduate,Rented,Married,29,374,722063,Good,3,0
47,Female,1174005,Business,Graduate,With Parents,Single,20,626,769864,Poor,2,0
46,Male,1795230,Government,Post Graduate,With Parents,Single,20,547,489131,Good,3,0
36,Male,403028,Working,Graduate,Rented,Divorced,26,554,907340,Poor,2,0
57,Female,598110,Business,Graduate,With Parents,Married,31,615,521530,Good,3,0
53,Female,704844,Business,Post Graduate,Rented,Single,3,588,518934,Good,5,0
51,Female,1325522,Working,High School,Rented,Single,16,674,800961,Good,0,1
46,Male,1395967,Business,Graduate,With Parents,Married,4,695,528750,Good,4,1
38,Male,469826,Working,Graduate,Rented,Married,35,674,791638,Good,4,0
53,Female,1248739,Working,High School,Owned,Single,21,785,544559,Good,4,1
53,Male,887794,Government,High School,Rented,Divorced,19,644,531958,Poor,4,0
52,Female,1195921,Working,Graduate,Rented,Divorced,7,726,612056,Good,5,1
22,Female,756857,Business,Post Graduate,Owned,Divorced,30,474,549697,Good,4,0
45,Male,1923148,Business,High School,With Parents,Divorced,7,495,19857,Good,3,0
30,Female,1648084,Business,Graduate,With Parents,Divorced,30,363,740058,Good,1,0
56,Female,1588790,Student,Post Graduate,Rented,Married,11,770,956431,Good,4,1
43,Female,1479423,Student,High School,Owned,Married,35,605,235790,Poor,2,0
39,Male,1647538,Student,Graduate,Rented,Married,35,580,301769,Good,5,0
55,Female,1027394,Government,High School,Rented,Single,18,380,363188,Poor,5,0
37,Female,648762,Business,Post Graduate,Rented,Divorced,17,440,114532,Good,4,0
36,Male,306462,Business,Post Graduate,Owned,Single,6,723,346337,Good,0,0
29,Male,1354172,Business,Graduate,With Parents,Married,30,504,792630,Poor,2,0
39,Male,1812133,Working,Post Graduate,With Parents,Single,34,338,957590,Poor,3,0
32,Male,1953645,Student,Graduate,Owned,Divorced,18,338,9717,Good,4,0
27,Female,796769,Student,Post Graduate,With Parents,Divorced,31,437,892400,Good,2,0
33,Male,893494,Business,Post Graduate,Rented,Divorced,16,490,14768,Good,2,0
57,Male,568039,Student,Graduate,With Parents,Married,5,710,701765,Good,1,0
51,Female,720192,Working,Graduate,Rented,Single,28,573,345637,Good,5,0
57,Male,748516,Government,Post Graduate,Owned,Single,7,776,321709,Good,5,1
53,Female,1647643,Working,Post Graduate,Rented,Married,14,524,140057,Good,3,0
59,Female,1072091,Student,Post Graduate,With Parents,Single,15,383,551033,Good,5,0
44,Male,1383147,Working,High School,With Parents,Divorced,12,886,562728,Good,2,1
54,Female,443772,Business,Post Graduate,With Parents,Married,5,822,467122,Poor,3,0
29,Female,1157975,Working,Post Graduate,Rented,Divorced,19,322,415182,Good,0,0
34,Male,294979,Student,Graduate,With Parents,Single,34,361,979981,Poor,3,0
23,Female,1057456,Business,High School,With Parents,Divorced,26,683,934631,Good,3,0
45,Male,1631789,Business,Post Graduate,Rented,Single,11,850,412151,Good,5,1
35,Male,1785823,Working,Graduate,Rented,Divorced,34,734,557772,Good,1,1
36,Female,925949,Business,Graduate,Owned,Divorced,7,332,848799,Good,4,0
22,Male,632184,Working,High School,With Parents,Single,28,349,256622,Good,3,0
49,Male,1331958,Business,High School,Owned,Divorced,18,539,855413,Poor,4,0
41,Female,696823,Government,High School,With Parents,Divorced,14,723,315098,Good,4,1
58,Male,1512802,Student,Post Graduate,Rented,Single,22,690,823975,Good,5,1
47,Female,512932,Government,Graduate,Owned,Divorced,30,546,890598,Good,5,0
30,Female,320846,Student,Graduate,With Parents,Divorced,8,697,254655,Good,2,0
26,Female,1976567,Government,High School,With Parents,Divorced,12,352,281502,Good,4,0
59,Male,352639,Business,Post Graduate,With Parents,Divorced,35,522,502681,Good,2,0
40,Male,644193,Business,Post Graduate,Owned,Divorced,30,548,729417,Good,1,0
46,Male,1357794,Government,Graduate,Rented,Married,34,667,323404,Good,4,1
52,Female,406796,Student,Graduate,Owned,Married,20,723,47936,Good,1,1
30,Male,746882,Student,Graduate,Owned,Single,21,535,398290,Good,1,0
52,Female,739653,Student,Post Graduate,With Parents,Divorced,31,771,176405,Good,2,1
31,Male,1710606,Student,High School,With Parents,Divorced,3,836,35466,Poor,0,0
24,Male,1064849,Business,Post Graduate,Owned,Single,9,309,229344,Good,2,0
24,Female,1582619,Student,High School,Owned,Divorced,35,721,12426,Good,5,1
38,Female,235950,Student,High School,Owned,Single,33,452,252674,Good,4,0
37,Female,760620,Student,High School,Rented,Married,29,878,255021,Poor,1,0
40,Male,1570983,Working,High School,Rented,Married,24,865,499127,Good,0,1
31,Male,1248279,Student,Post Graduate,Rented,Divorced,6,840,963800,Good,1,1
57,Female,768527,Working,High School,With Parents,Married,34,877,690077,Good,2,0
22,Male,1431103,Business,Post Graduate,Rented,Single,19,466,591353,Good,3,0
55,Female,1004983,Business,Post Graduate,With Parents,Single,32,654,56304,Good,1,1
25,Female,1469130,Student,Graduate,Owned,Divorced,17,761,514435,Good,4,1
45,Female,589520,Student,High School,With Parents,Married,15,375,86023,Good,3,0
30,Female,864122,Government,High School,Owned,Single,19,755,377400,Good,0,1
29,Male,592989,Student,Graduate,With Parents,Divorced,32,717,108310,Good,2,1
56,Male,1451841,Government,Graduate,Owned,Married,26,697,817018,Good,4,1
36,Male,1637211,Student,High School,Owned,Married,19,574,517077,Good,1,0
48,Female,1083115,Government,Graduate,Owned,Married,16,552,755917,Good,4,0
60,Male,1160205,Working,High School,Rented,Single,25,640,882495,Good,2,0
49,Female,1103067,Business,Graduate,Rented,Divorced,12,790,329445,Good,3,1
41,Female,1741143,Student,Post Graduate,Owned,Married,24,587,856156,Good,2,0
28,Male,1441990,Business,Post Graduate,With Parents,Single,29,514,459753,Good,5,0
25,Female,1611336,Student,High School,With Parents,Married,15,558,690658,Good,3,0
45,Male,1141761,Student,Post Graduate,Rented,Divorced,32,728,570053,Good,2,1
55,Male,429364,Business,Post Graduate,With Parents,Married,10,345,590579,Poor,5,0
46,Female,1869817,Student,High School,Owned,Single,16,527,535482,Good,4,0
58,Male,1134865,Government,Graduate,Rented,Divorced,32,454,361724,Poor,3,0
27,Female,1072363,Working,High School,With Parents,Single,22,619,359731,Good,1,0
54,Female,930438,Student,High School,Rented,Divorced,28,626,70437,Good,5,0
28,Male,1980859,Government,Post Graduate,Owned,Divorced,10,549,541058,Good,1,0
42,Female,1168997,Business,Graduate,With Parents,Single,11,742,414798,Good,4,1
33,Female,1441940,Student,Graduate,Owned,Divorced,13,510,291865,Good,0,0
57,Male,1876677,Business,Graduate,Rented,Single,29,416,275097,Good,3,0
54,Female,1451938,Student,Post Graduate,Rented,Divorced,7,656,369082,Poor,4,0
32,Female,1488667,Working,Post Graduate,Owned,Married,7,544,320214,Good,2,0
30,Female,1077110,Business,Post Graduate,Rented,Married,11,798,666371,Good,5,1
32,Male,1226853,Government,High School,Owned,Married,28,354,907565,Good,0,0
52,Male,609214,Student,Post Graduate,With Parents,Divorced,31,718,717956,Good,5,0
49,Female,550755,Working,Post Graduate,Owned,Single,18,333,288204,Good,2,0
31,Female,1386254,Student,Post Graduate,With Parents,Single,7,574,812764,Good,2,0
55,Male,1793844,Student,Post Graduate,Owned,Married,6,553,312170,Poor,0,0
49,Female,931018,Working,Graduate,Owned,Single,13,659,902874,Good,5,0
48,Male,1492162,Business,High School,Owned,Single,22,845,294739,Good,1,1
41,Female,806775,Government,Post Graduate,With Parents,Single,8,721,963398,Good,2,0
29,Male,723611,Business,Post Graduate,Rented,Single,25,801,149077,Good,2,1
47,Female,1147895,Working,Post Graduate,Owned,Married,32,584,728449,Poor,2,0
50,Female,886375,Working,Post Graduate,Owned,Divorced,29,666,891401,Good,4,0
46,Male,1101026,Business,Graduate,Rented,Married,18,645,573896,Good,4,0
52,Female,1631415,Working,High School,Owned,Divorced,29,316,130272,Poor,1,0
49,Female,201417,Student,High School,With Parents,Single,19,462,916899,Poor,2,0
26,Female,725104,Working,Graduate,With Parents,Divorced,10,353,415594,Good,5,0
35,Female,1574652,Working,Post Graduate,Owned,Single,13,788,81724,Good,1,1
54,Female,219476,Working,Post Graduate,Rented,Single,27,435,500905,Good,3,0
26,Male,416429,Government,Graduate,Rented,Single,24,436,672741,Poor,1,0
25,Male,1479932,Business,Graduate,Rented,Divorced,13,455,964578,Good,5,0
49,Male,381797,Working,High School,Owned,Divorced,24,659,450246,Good,1,0
36,Female,1551867,Working,High School,With Parents,Divorced,18,327,889079,Poor,2,0
34,Male,1768341,Student,Graduate,With Parents,Single,15,806,404630,Good,3,1
59,Male,1307897,Working,Graduate,Rented,Single,24,882,441307,Good,5,1
32,Female,1815576,Working,High School,With Parents,Single,0,568,226222,Good,0,0
46,Female,1518208,Student,Graduate,With Parents,Married,5,849,563772,Good,2,1
26,Female,365720,Business,High School,With Parents,Married,25,900,665105,Good,5,0
25,Female,1665229,Student,Post Graduate,Owned,Single,15,388,969542,Good,3,0
60,Male,848628,Business,High School,Owned,Divorced,8,311,171790,Good,2,0
54,Female,550146,Government,High School,With Parents,Married,7,330,351284,Poor,2,0
54,Male,751445,Working,Graduate,Rented,Divorced,23,356,523879,Poor,1,0
44,Male,735017,Working,Post Graduate,With Parents,Divorced,7,533,776764,Good,0,0
21,Male,296430,Student,Graduate,Rented,Single,11,336,579720,Poor,5,0
47,Male,874867,Business,Graduate,With Parents,Married,17,379,599298,Good,4,0
24,Male,668052,Working,Graduate,Owned,Married,18,618,343199,Good,3,0
21,Female,620837,Government,Post Graduate,Rented,Divorced,15,775,386162,Good,3,1
33,Male,515760,Working,Graduate,Owned,Single,34,654,666833,Poor,0,0
42,Male,1791589,Student,Post Graduate,With Parents,Married,6,510,555550,Poor,3,0
52,Male,498578,Government,High School,Owned,Single,33,722,734891,Poor,3,0
26,Male,1259958,Business,Post Graduate,Rented,Single,3,745,694622,Poor,1,0
39,Female,1984495,Government,Graduate,With Parents,Divorced,20,625,474751,Good,0,0
33,Male,1835646,Working,High School,Owned,Single,28,777,329287,Good,4,1
43,Male,1147738,Government,Graduate,Rented,Single,5,461,846826,Good,5,0
59,Male,650931,Government,High School,Owned,Divorced,15,664,415492,Good,5,1
40,Female,1919852,Business,High School,Rented,Married,35,863,261989,Good,0,1
29,Male,225075,Working,High School,Owned,Single,25,681,719622,Good,5,0
26,Female,1904454,Working,High School,Owned,Single,28,431,96446,Poor,2,0
28,Male,1166776,Working,High School,With Parents,Married,25,808,30914,Good,3,1
32,Female,650292,Business,Graduate,Rented,Married,9,335,643937,Good,1,0
39,Female,1064010,Student,High School,Owned,Married,24,440,439599,Good,4,0
36,Male,1002156,Government,Graduate,With Parents,Married,22,879,526797,Good,2,1
32,Male,868734,Business,High School,Rented,Single,30,842,374795,Good,1,1
31,Male,719793,Business,Graduate,With Parents,Divorced,3,524,603656,Poor,3,0
43,Male,569309,Business,Post Graduate,Rented,Divorced,22,328,737623,Good,4,0
57,Male,1380924,Business,Graduate,With Parents,Married,11,802,39807,Good,1,1
59,Male,241792,Student,High School,Rented,Divorced,12,433,357311,Good,2,0
24,Male,509774,Business,High School,With Parents,Married,4,682,738761,Poor,3,0
58,Male,905819,Government,Graduate,Owned,Single,27,798,680714,Good,5,1
56,Female,668162,Business,Graduate,Rented,Divorced,18,430,186340,Good,5,0
57,Female,1984166,Working,High School,With Parents,Married,14,879,109167,Poor,1,0
42,Male,699113,Government,Graduate,Owned,Divorced,5,643,468325,Good,1,0
36,Male,935012,Government,High School,With Parents,Single,3,695,459507,Good,1,1
47,Female,994217,Government,Post Graduate,Rented,Single,30,891,682591,Good,1,1
31,Female,354579,Working,Graduate,Owned,Married,16,407,77804,Good,3,0
31,Male,1347239,Working,Graduate,With Parents,Divorced,30,331,452275,Poor,1,0
59,Female,529470,Working,High School,Rented,Single,12,719,731063,Good,5,0
55,Female,1585374,Government,Graduate,Owned,Single,3,702,599544,Good,3,1
30,Male,956713,Working,Graduate,Owned,Married,30,504,101698,Good,1,0
39,Male,1193149,Working,Graduate,Rented,Married,31,571,95563,Good,3,0
32,Female,999948,Government,High School,Rented,Single,16,750,487648,Good,2,1
57,Male,516943,Working,High School,With Parents,Married,34,723,793202,Good,4,0
24,Female,1916320,Student,Post Graduate,With Parents,Married,15,787,313369,Good,5,1
23,Male,452249,Student,High School,Owned,Single,12,429,44748,Good,5,0
48,Male,1925041,Business,Post Graduate,Rented,Married,4,389,406951,Good,4,0
41,Female,1289865,Student,High School,With Parents,Divorced,33,729,117984,Good,1,1
57,Male,421532,Working,Graduate,With Parents,Married,26,570,401650,Good,4,0
59,Female,278571,Business,Graduate,Rented,Single,25,339,415018,Poor,2,0
36,Male,1763950,Student,Graduate,Rented,Single,21,610,326053,Good,3,0
27,Male,481826,Government,Post Graduate,Rented,Married,17,726,634366,Good,1,0
49,Male,1927989,Student,Post Graduate,Rented,Divorced,23,357,540299,Good,0,0
40,Female,484478,Working,High School,Owned,Single,3,555,34677,Good,2,0
33,Female,972489,Student,Post Graduate,Rented,Divorced,7,331,253690,Good,4,0
49,Male,1195271,Government,Graduate,Owned,Married,5,591,28783,Good,1,0
57,Male,1997492,Business,Post Graduate,Owned,Divorced,13,575,683238,Good,0,0
21,Female,477482,Business,Post Graduate,Owned,Single,16,612,747362,Poor,5,0
38,Female,989526,Government,Graduate,Rented,Single,29,609,710091,Good,4,0
46,Male,215408,Government,Post Graduate,With Parents,Divorced,18,605,717659,Good,0,0
42,Female,1543424,Government,Graduate,Rented,Divorced,19,492,157212,Good,1,0
24,Female,1585232,Government,Post Graduate,Owned,Divorced,1,809,309963,Good,3,1
46,Female,1745039,Working,Post Graduate,With Parents,Divorced,12,651,761842,Good,5,1
55,Female,1609010,Government,Post Graduate,Rented,Single,35,485,308054,Good,1,0
37,Male,1625460,Government,Post Graduate,Owned,Single,22,528,780360,Poor,3,0
42,Female,746432,Government,Graduate,Owned,Married,3,897,608502,Poor,0,0
51,Male,1249577,Working,Post Graduate,Rented,Divorced,19,723,56688,Poor,1,0
29,Male,918630,Student,Post Graduate,Rented,Single,20,484,816779,Good,2,0
32,Female,1530640,Working,High School,Rented,Married,13,472,604272,Good,3,0
26,Male,1488657,Student,Post Graduate,Rented,Married,27,788,401936,Good,4,1
